frequency_Hz,R_V_mean
49500.0,0.0010962283499802857
49510.0,0.0011005445297726485
49520.0,0.0011005445297726485
49530.0,0.0011005445297726485
49540.0,0.0011005445297726485
49550.0,0.0011221218932005558
49560.0,0.0011221218932005558
49570.0,0.0011221218932005558
49580.0,0.0011437027921623693
49590.0,0.0011437027921623693
49600.0,0.0011652801555902769
49610.0,0.0011652801555902769
49620.0,0.0011652801555902769
49630.0,0.0011652801555902769
49640.0,0.0011868610545520903
49650.0,0.0011868610545520903
49660.0,0.0012084384179799979
49670.0,0.0012084384179799979
49680.0,0.0012084384179799979
49690.0,0.0012300193169418113
49700.0,0.0012300193169418113
49710.0,0.0012300193169418113
49720.0,0.0012515966803697187
49730.0,0.0012515966803697187
49740.0,0.001273177579331532
49750.0,0.0012947549427594397
49760.0,0.0013163358417212533
49770.0,0.0013163358417212533
49780.0,0.0013379132051491607
49790.0,0.0013594941041109737
49800.0,0.0013594941041109737
49810.0,0.0013810785386066933
49820.0,0.0014026559020346007
49830.0,0.0014242368009964143
49840.0,0.0014673950633861351
49850.0,0.0014889759623479487
49860.0,0.0015105533257758561
49870.0,0.001553711588165577
49880.0,0.0015752924871273903
49890.0,0.0016184507495171114
49900.0,0.0016616090119068324
49910.0,0.0017047672742965532
49920.0,0.0017263446377244608
49930.0,0.001791083799075995
49940.0,0.0018558194248936234
49950.0,0.0019205585862451578
49960.0,0.0020068751110245996
49970.0,0.0020931916358040417
49980.0,0.002201089059545297
49990.0,0.0023305638467144597
50000.0,0.0024816159973115298
50010.0,0.002688776363888971
50020.0,0.002913212763344363
50030.0,0.0032368979635003167
50040.0,0.003668469980795808
50050.0,0.004272692725319713
50052.0,0.004423766089120219
50054.0,0.004596370854407856
50056.0,0.0047906130871997995
50058.0,0.0049848199646526856
50060.0,0.005222195711097009
50062.0,0.005459571457541334
50064.0,0.005761682829803285
50066.0,0.006085360958891428
50068.0,0.006452207956971009
50070.0,0.006879477229502979
50072.0,0.007358542073756866
50074.0,0.007941198061454581
50076.0,0.008631723188622304
50078.0,0.009473321679590531
50080.0,0.010509091692672588
50082.0,0.011834103734598998
50084.0,0.01355180752745736
50085.0,0.014626461342436864
50085.1,0.014738686259678979
50085.2,0.014868157511314237
50085.3,0.014997628762949492
50085.4,0.015105497902419501
50085.5,0.015235004509393817
50085.6,0.015364475761029074
50085.7,0.015493947012664332
50085.8,0.015623418264299587
50085.9,0.015774456272761035
50086.0,0.015903927524396292
50086.1,0.016033434131370608
50086.2,0.016184472139832054
50086.3,0.01631394339146731
50086.4,0.01648658351209401
50086.5,0.016616054763729262
50086.6,0.016767128127529767
50086.7,0.016918166135991217
50086.8,0.01709080625661791
50086.9,0.01726344637724461
50087.0,0.01741448438570605
50087.1,0.01758712450633275
50087.2,0.01775976462695944
50087.3,0.01793240474758614
50087.4,0.01810500951287378
50087.5,0.018299251745665723
50087.6,0.018471856510953358
50087.7,0.01866606338840624
50087.8,0.018860305621198187
50087.9,0.01905451249865107
50088.0,0.019270286132930147
50088.1,0.019464493010383034
50088.2,0.019680302000001166
50088.3,0.0198961109896193
50088.4,0.020111884623898374
